name,lat,lng,url
"Front Range",39.7392,-104.9903,"https://usrse.slack.com/archives/C01FSJ1QYFR"
"New England",42.3601,-71.0589,"https://usrse.slack.com/archives/C03H3V6157F"
"NOLA",29.9511,-90.0715,"https://usrse.slack.com/archives/C01GD9HNVK6"
"Chicago",41.8781,-87.6298,"https://usrse.slack.com/archives/C02PK0DA5NG"
"Arizona",33.4255,-111.9400,"https://usrse.slack.com/archives/C01H1T40V7A"
"California",34.1478,-118.1445,"https://usrse.slack.com/archives/C01FSVC247R"
"New Mexico",35.0844,-106.6504,"https://usrse.slack.com/archives/C02P2338P55"
"Pennsylvania",40.4406,-79.9959,"https://usrse.slack.com/archives/C02PA0SP32S"
"North Carolina",35.3998,-79.7666,"https://us-rse.org/ag/rg-north-carolina/"
